ip,command,command_length,failed_attempts,session_time,timestamp,label
192.168.1.10,dir,3,0,3,2026-03-15,0
192.168.1.11,whoami,6,1,5,2026-03-15,0
192.168.1.12,powershell exploit,18,5,25,2026-03-15,1
192.168.1.13,net user admin add,18,4,20,2026-03-15,1"127.0.0.1","powershell exploit","18","1","34","2026-03-20 20:12:29.734127","1"
"127.0.0.1","dir","3","1","10","2026-03-20 20:12:32.883835","0"
"127.0.0.1","net user admin /add","19","2","25","2026-03-20 20:12:37.149479","1"
"127.0.0.1","dir","3","4","17","2026-04-14 15:48:34.770046","0"
"127.0.0.1","whoami","6","1","7","2026-04-14 15:48:43.232902","0"
"127.0.0.1","powershell exploit","18","4","10","2026-04-14 15:48:47.829890","1"
"127.0.0.1","dir","3","5","2","2026-04-14 15:56:29.221482","0"
"127.0.0.1","powershell exploit","18","4","32","2026-04-14 15:57:02.775455","1"
"127.0.0.1","dir","3","3","10","2026-04-15 09:31:29.130345","0"
"127.0.0.1","type notes.txt","14","0","23","2026-04-15 09:31:40.999444","0"
"127.0.0.1","powershell exploit","18","1","3","2026-04-15 09:31:50.023869","1"
"127.0.0.1","dir","3","3","24","2026-04-15 09:38:51.918609","0"
"127.0.0.1","powershell exploit","18","3","9","2026-04-15 09:38:57.136262","1"
"127.0.0.1","whoami","6","4","3","2026-04-15 11:02:03.745171","0"
"127.0.0.1","nmap scan","9","1","15","2026-04-15 11:02:09.629402","1"
"127.0.0.1","powershell exploit","18","0","37","2026-04-15 11:02:13.743689","1"
"127.0.0.1","john","4","2","9","2026-04-15 11:02:40.426955","1"
"127.0.0.1","dir","3","5","34","2026-04-15 11:10:39.236871","0"
"127.0.0.1","nmap scan","9","2","27","2026-04-15 11:10:51.630220","1"
"127.0.0.1","dir","3","4","12","2026-04-15 11:11:11.047105","0"
"127.0.0.1","whoami","6","4","28","2026-04-15 11:11:16.792948","0"
"127.0.0.1","powershell exploit","18","5","16","2026-04-15 11:11:24.959189","1"
"127.0.0.1","dir","3","3","18","2026-04-15 12:10:14.071654","0"
