2026-03-20 19:18:14.634065 | 127.0.0.1 | dir
2026-03-20 19:19:37.119093 | 127.0.0.1 | whoami
2026-03-20 19:19:54.885569 | 127.0.0.1 | powershell exploit
2026-03-20 19:25:18.493814 | 127.0.0.1 | powershell exploit
2026-03-20 19:25:51.119139 | 127.0.0.1 | net user admin /add
2026-03-20 19:50:28.892922 | 127.0.0.1 | dir | Label: 0
2026-03-20 19:50:36.201143 | 127.0.0.1 | powershell exploit | Label: 1
2026-03-20 19:50:57.313637 | 127.0.0.1 | type notes.txt | Label: 0
2026-03-20 19:51:16.620399 | 127.0.0.1 | nmap scan | Label: 1
2026-03-20 20:01:47.798301 | 127.0.0.1 | dir | Label: 0
2026-03-20 20:01:51.233256 | 127.0.0.1 | powershell exploit | Label: 1
2026-03-20 20:01:54.926457 | 127.0.0.1 | net user admin /add | Label: 1
2026-03-20 20:01:59.007739 | 127.0.0.1 | type notes.txt | Label: 1
2026-03-20 20:02:06.852892 | 127.0.0.1 | whoami | Label: 0
2026-03-20 20:02:10.790170 | 127.0.0.1 | nmap scan | Label: 1
2026-03-20 20:12:29.734127 | 127.0.0.1 | powershell exploit | Label: 1
2026-03-20 20:12:32.883835 | 127.0.0.1 | dir | Label: 0
2026-03-20 20:12:37.149479 | 127.0.0.1 | net user admin /add | Label: 1
2026-04-14 15:48:34.770046 | 127.0.0.1 | dir | Label: 0
2026-04-14 15:48:43.232902 | 127.0.0.1 | whoami | Label: 0
2026-04-14 15:48:47.829890 | 127.0.0.1 | powershell exploit | Label: 1
2026-04-14 15:56:29.221482 | 127.0.0.1 | dir | Label: 0
2026-04-14 15:57:02.775455 | 127.0.0.1 | powershell exploit | Label: 1
2026-04-15 09:31:29.130345 | 127.0.0.1 | dir | Label: 0
2026-04-15 09:31:40.999444 | 127.0.0.1 | type notes.txt | Label: 0
2026-04-15 09:31:50.023869 | 127.0.0.1 | powershell exploit | Label: 1
2026-04-15 09:38:51.918609 | 127.0.0.1 | dir | Label: 0
2026-04-15 09:38:57.136262 | 127.0.0.1 | powershell exploit | Label: 1
2026-04-15 11:02:03.745171 | 127.0.0.1 | whoami | Label: 0
2026-04-15 11:02:09.629402 | 127.0.0.1 | nmap scan | Label: 1
2026-04-15 11:02:13.743689 | 127.0.0.1 | powershell exploit | Label: 1
2026-04-15 11:02:40.426955 | 127.0.0.1 | john | Label: 1
2026-04-15 11:10:39.236871 | 127.0.0.1 | dir | Label: 0
2026-04-15 11:10:51.630220 | 127.0.0.1 | nmap scan | Label: 1
2026-04-15 11:11:11.047105 | 127.0.0.1 | dir | Label: 0
2026-04-15 11:11:16.792948 | 127.0.0.1 | whoami | Label: 0
2026-04-15 11:11:24.959189 | 127.0.0.1 | powershell exploit | Label: 1
2026-04-15 12:10:14.071654 | 127.0.0.1 | dir | Label: 0
